,Rk_x,Player,G_x,GS_x,MP_x,FG_x,FGA_x,FG%_x,2P_x,2PA_x,2P%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB,DRB,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,Rk_y,G_y,GS_y,MP_y,FG_y,FGA_y,FG%_y,2P_y,2PA_y,2P%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,Rk,G,GS,PER,TS%,eFG%,3PAr,FTr,PProd_x,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/40,Unnamed: 24,OBPM,DBPM,BPM,PProd_y,avgAdjPts,sdAdjPts,ModelSecondCoef,ModelFirstCoef,Yintercept,R2,OldTeam,NewTeam
0,7.0,Michael Weathers,16,0.0,328,53,120,0.442,49,102,0.48,4,18,0.222,37,59,0.627,11,34,45,33,17,7,47,36,147,2,16,0,328,6.5,14.6,0.442,6.0,12.4,0.48,0.5,2.2,0.222,4.5,7.2,0.627,5.5,4.0,2.1,0.9,5.7,4.4,17.9,8,16,0,13.5,0.49700000000000005,0.45799999999999996,0.15,0.49200000000000005,147.0,3.9,11.8,7.8,23.4,3.1,2.6,24.1,31.3,,-0.2,0.4,0.2,0.019,,-1.7,1.8,0.1,147.0,10.245477756874774,5.9441264586813185,-0.002363567421922795,7.937425254749969e-07,17.790135862785714,0.019681206765432502,Miami (OH),Oklahoma State
1,3.0,Quincy McKnight,34,33.0,968,117,259,0.452,99,192,0.516,18,67,0.26899999999999996,66,103,0.6409999999999999,15,78,93,134,55,8,86,103,318,4,34,33,968,4.8,10.7,0.452,4.1,7.9,0.516,0.7,2.8,0.26899999999999996,2.7,4.3,0.6409999999999999,3.8,5.5,2.3,0.3,3.6,4.3,13.1,5,34,33,13.7,0.516,0.486,0.259,0.39799999999999996,348.0,1.7,9.2,5.4,26.4,3.2,1.0,21.8,20.2,,0.8,1.3,2.0,0.084,,-0.8,2.7,1.9,348.0,15.195081086074437,8.412759573928447,0.025733791880730838,-9.202383871387663e-05,18.71328761401216,0.21172243113324785,Sacred Heart,Seton Hall
2,4.0,Prentiss Nixon,32,29.0,941,112,314,0.35700000000000004,70,154,0.455,42,160,0.263,38,56,0.679,7,97,104,68,41,5,55,71,304,8,32,29,941,4.8,13.3,0.35700000000000004,3.0,6.5,0.455,1.8,6.8,0.263,1.6,2.4,0.679,4.4,2.9,1.7,0.2,2.3,3.0,12.9,6,32,29,10.1,0.446,0.424,0.51,0.17800000000000002,293.0,0.9,11.8,6.3,13.6,2.5,0.6,13.9,20.9,,0.1,0.8,1.0,0.040999999999999995,,-1.1,0.5,-0.6,293.0,14.910825213159622,7.225546315131268,-0.018552165186705667,-4.848130505253186e-06,22.99274030186357,0.41284541539367803,Colorado State,Iowa State
3,5.0,Braxton Key,38,6.0,751,74,171,0.433,56,112,0.5,18,59,0.305,49,67,0.731,50,150,200,38,36,21,28,66,215,9,38,6,751,3.9,9.1,0.433,3.0,6.0,0.5,1.0,3.1,0.305,2.6,3.6,0.731,10.7,2.0,1.9,1.1,1.5,3.5,11.5,5,38,6,19.7,0.53,0.485,0.345,0.392,232.0,8.9,23.5,16.6,9.4,3.2,3.7,12.1,17.6,,1.5,2.2,3.8,0.20199999999999999,,3.6,5.7,9.3,232.0,8.674273740027981,4.282490004887232,0.036086535746271256,-5.727947041852928e-05,6.623162151783975,0.1499405190294384,Alabama,Virginia
4,1.0,Omer Yurtseven,26,25.0,709,165,309,0.534,162,295,0.5489999999999999,3,14,0.214,70,93,0.753,98,158,256,31,12,38,59,73,403,2,26,25,709,9.3,17.4,0.534,9.1,16.6,0.5489999999999999,0.2,0.8,0.214,3.9,5.2,0.753,14.4,1.7,0.7,2.1,3.3,4.1,22.7,1,26,25,27.2,0.5710000000000001,0.539,0.045,0.301,382.0,15.3,24.1,19.7,10.3,0.9,6.0,14.3,27.9,,2.1,1.0,3.1,0.175,,4.9,0.6,5.5,382.0,17.667197592808385,2.0312864778698,-0.0606281244004067,0.0003609680329787504,19.282600562143948,0.24554837014794628,NC State,Georgetown
5,3.0,Tyree Appleby,25,17.0,712,83,201,0.413,54,118,0.45799999999999996,29,83,0.349,87,105,0.8290000000000001,6,71,77,82,38,3,72,55,282,4,25,17,712,4.7,11.3,0.413,3.0,6.6,0.45799999999999996,1.6,4.7,0.349,4.9,5.9,0.8290000000000001,4.3,4.6,2.1,0.2,4.0,3.1,15.8,3,25,17,16.1,0.562,0.485,0.413,0.522,294.0,1.1,11.0,6.3,21.2,3.0,0.5,22.3,22.7,,1.2,1.0,2.2,0.12300000000000001,,1.8,2.0,3.8,294.0,13.028008629869325,7.333361687604484,-0.0017471317856575924,-2.2299399611321712e-05,17.815904247853727,0.08473846830601106,Cleveland State,Florida
6,14.0,Joel Ntambwe,3,0.0,41,5,12,0.41700000000000004,2,7,0.28600000000000003,3,5,0.6,1,2,0.5,1,10,11,3,0,0,4,4,14,5,3,0,41,4.9,11.7,0.41700000000000004,2.0,6.8,0.28600000000000003,2.9,4.9,0.6,1.0,2.0,0.5,10.7,2.9,0.0,0.0,3.9,3.9,13.7,14,3,0,10.9,0.541,0.542,0.41700000000000004,0.16699999999999998,13.0,2.8,29.6,15.9,14.5,0.0,0.0,23.6,21.2,,0.0,0.1,0.1,0.098,,-2.1,1.2,-0.9,13.0,15.141301708383738,4.628404634994403,0.27276863249301,-0.0018764806553020848,8.45700963892902,0.47748557471206243,UNLV,Texas Tech
7,4.0,Tevin Mack,34,24.0,699,115,276,0.41700000000000004,67,132,0.508,48,144,0.33299999999999996,28,50,0.56,30,83,113,28,11,16,48,56,306,2,34,24,699,6.6,15.8,0.41700000000000004,3.8,7.6,0.508,2.7,8.2,0.33299999999999996,1.6,2.9,0.56,6.5,1.6,0.6,0.9,2.7,3.2,17.5,6,34,24,14.0,0.51,0.504,0.522,0.18100000000000002,276.0,4.8,13.0,8.9,8.7,0.9,2.3,13.8,24.6,,0.6,0.8,1.4,0.08199999999999999,,1.6,0.6,2.2,276.0,5.895349322865658,3.6396062249226966,0.46203961998700865,-0.00017921913125700642,-277.8826486328901,0.765356632141631,Texas,Alabama
8,3.0,Jimmy Whitt,33,33.0,1096,140,287,0.488,134,266,0.504,6,21,0.28600000000000003,60,101,0.594,50,121,171,114,60,16,54,76,346,7,33,33,1096,5.1,10.5,0.488,4.9,9.7,0.504,0.2,0.8,0.28600000000000003,2.2,3.7,0.594,6.2,4.2,2.2,0.6,2.0,2.8,12.6,2,33,33,18.0,0.516,0.498,0.073,0.35200000000000004,376.0,5.4,13.4,9.3,21.3,3.4,1.9,13.9,18.9,,1.9,2.0,4.0,0.145,,1.2,3.2,4.5,376.0,3.458698652620027,1.902526419927155,22.21251993783293,-0.007376395534835793,-16709.751197387683,1.0,Arkansas,SMU
9,7.0,Seventh Woods,18,13.0,342,42,114,0.368,37,87,0.425,5,27,0.185,8,12,0.667,4,26,30,35,20,1,35,39,97,8,18,13,342,4.9,13.3,0.368,4.3,10.2,0.425,0.6,3.2,0.185,0.9,1.4,0.667,3.5,4.1,2.3,0.1,4.1,4.6,11.3,16,18,13,6.0,0.405,0.39,0.237,0.105,101.0,1.2,9.0,4.8,18.6,3.1,0.3,22.6,20.5,,-0.4,0.3,-0.2,-0.019,,-4.9,1.0,-3.9,101.0,1.4658108015870976,1.1269057858677574,-50.28011201857296,0.014005602233586885,45081.28569075268,1.0,UNC,South Carolina
