,Name,OldSchool,NewSchool,Stars
0,Jaron Faulds,Columbia,Michigan,3
1,Ike Obiagu,Florida State,Seton Hall,4
2,Prentiss Nixon,Colorado State,Iowa State,3
3,Adrien White,Charlotte,Wake Forest,0
4,Braxton Key,Alabama,Virginia,4
5,Omer Yurtseven,NC State,Georgetown,4
6,James Banks,Texas,Georgia Tech,4
7,Tyree Appleby,Cleveland State,Florida,0
8,Jraan Brooks,USC,Washington,4
9,Joel Ntambwe,UNLV,Texas Tech,0
10,Tevin Mack,Alabama,Clemson,4
11,Jimmy Whitt,SMU,Arkansas,4
12,Curtis JonesJr,Oklahoma State,Penn State,4
13,Branden Johnson-2,Alabama State,Virginia Tech,0
14,Eugene Omoruyi,Rutgers,Oregon,0
15,Seventh Woods,UNC,South Carolina,4
16,Jonathan tchamwatchatchoua,UNLV,Baylor,0
17,Connor Vanover,California,Arkansas,3
18,Isaiah Moss,Iowa,Kansas,3
19,Nick Honor,Fordham,Clemson,3
20,Derrick Walker,Tennessee,Nebraska,3
21,Anthony Mathis,New Mexico,Oregon,3
22,Rasir Bolton,Penn State,Iowa State,3
23,Bubba Parham,VMI,Georgia Tech,0
24,Victor Baileyjr,Oregon,Georgia Tech,4
25,Curran Scott,Tulsa,Clemson,0
26,Khavon Moore,Texas Tech,Clemson,4
27,Jemarl Bakerjr,Kentucky,Arizona,4
28,Kerry Blackshearjr,Virginia Tech,Florida,3
29,Joey Hauser,Marquette,Michigan State,4
30,Anthony Duruji,Louisiana Tech,Florida,3
31,Jonathan Laurent,UMass,Oklahoma State,3
32,Sam Hauser,Marquette,Virginia,4
33,Jordan Brown-4,Nevada,Arizona,5
34,Kareem South,Texas A&M-Corpus Christi,California,0
35,Dalano Banton,Western Kentucky,Nebraska,4
36,Stanley Umude,South Dakota,Arkansas,0
37,Brandon Wade,Duquesne,Michigan,0
38,Eric Williamsjr,Duquesne,Oregon,0
39,Chris Clarke,Virginia Tech,Texas Tech,4
40,JD Notae,Jacksonville,Arkansas,0
41,Adam Flagler,Presbyterian,Baylor,0
42,Justice Sueing,California,Ohio State,3
43,Jahvon Quinerly,Villanova,Alabama,5
44,Lamarr Kimble,St. Joseph's,Louisville,3
45,Dominik Olejniczak,Ole Miss,Florida State,0
46,Max Hazzard,UC-Irvine,Arizona,3
47,DJ Harvey,Notre Dame,Vanderbilt,4
48,Jaedon Ledee,Ohio State,TCU,4
49,Christian Keeling,Charleston Southern,UNC,0
50,Jahaad Proctor,High Point,Purdue,0
51,Takal Molson,Canisius,Seton Hall,0
52,Jeantal Cylla,UNC Wilmington,Arkansas,3
53,TJ Holyfield,Stephen F. Austin,Texas Tech,0
54,Kevin Easleyjr,Chattanooga,TCU,3
55,Shakur Juiston,UNLV,Oregon,3
56,Javan Johnson,Troy,Iowa State,0
57,Justin Pierce,William & Mary,UNC,0
58,Haanif Cheatham,Florida Gulf Coast,Nebraska,4
59,Nate Sestina,Bucknell,Kentucky,0
60,Daniel Utomi,Akron,USC,0
61,James Bolden,West Virginia,Alabama,3
62,Alihan Demir,Drexel,Minnesota,0
63,Akwasi Yeboah,Stony Brook,Rutgers,0
64,Abayomi Iyiola,Stetson,Arkansas,3
65,Shamiel Stevenson,Pitt,Nebraska,3
66,Jordan Usher,USC,Georgia Tech,4
67,Quade Green,Kentucky,Washington,5
68,Micah Potter,Ohio State,Wisconsin,3
